"long_name","name","slug","tid"
"Wayne State College ","Wayne St. (NE)","wayne-st-ne","2431"
"Waynesburg University","Waynesburg","waynesburg","2435"
"Weber State University","Weber St.","weber-st","2437"
"Webster University","Webster","webster","2439"
"Wellesley College","Wellesley","wellesley","2441"
"Wells College","Wells","wells","2443"
"Wentworth Institute of Technology","Wentworth Inst.","wentworth","2445"
"Wesley College","Wesley","wesley","2447"
"Wesleyan University","Wesleyan (CT)","wesleyan-ct","2451"
"Wesleyan College","Wesleyan (GA)","wesleyan-ga","2449"
"","null","West Virginia","38089"
"University of West Alabama","West Ala.","west-ala","2337"
"West Chester Univ. of Pennsylvania","West Chester","west-chester","2453"
"University of West Florida","West Fla.","west-florida","2339"
"University of West Georgia","West Ga.","west-ga","2341"
"West Liberty University","West Liberty","west-liberty","2455"
"West Texas A&M University","West Tex. A&M","west-tex-am","2457"
"West Virginia Univ. Inst. of Tech.","West Va. Tech","west-va-tech","2463"
"West Virginia Wesleyan College","West Va. Wesleyan","west-va-wesleyan","2465"
"West Virginia University","West Virginia","west-virginia","2461"
"West Virginia State University","West Virginia St.","west-virginia-st","2459"
"Western Carolina University","Western Caro.","western-caro","2467"
"Western Connecticut State University","Western Conn. St.","western-conn-st","2469"
"Western Illinois University","Western Ill.","western-ill","2471"
"Western Kentucky University","Western Ky.","western-ky","2473"
"Western Michigan University","Western Mich.","western-mich","2475"
"Western New England University","Western New Eng.","western-new-eng","2477"
"Western New Mexico University","Western N.M.","western-nm","2479"
"Western Oregon University","Western Ore.","western-ore","2481"
"Western State Colorado University ","Western St.","western-st","2483"
"Western Washington University","Western Wash.","western-wash","2485"
"Westfield State University","Westfield St.","westfield-st","2487"
"Westminster College (Mo.) ","Westminster (MO)","westminster-mo","2489"
"Westminster College (Pa.) ","Westminster (PA)","westminster-pa","2491"
"","Westminster College","westminster-ut","43707"
"Wheaton College (Ill.) ","Wheaton (IL)","wheaton-il","2493"
"Wheaton College (Mass.)","Wheaton (MA)","wheaton-ma","2495"
"Wheeling Jesuit University","Wheeling Jesuit","wheeling-jesuit","2497"
"Wheelock College","Wheelock","wheelock","2499"
"Whitman College","Whitman","whitman","2501"
"Whittier College","Whittier","whittier","2503"
"Whitworth University","Whitworth","whitworth","2505"
"Wichita State University","Wichita St.","wichita-st","2507"
"Widener University","Widener","widener","2509"
"Wilkes University","Wilkes","wilkes","2511"
"Willamette University","Willamette","willamette","2513"
"William Jewell College","William Jewell","william-jewell","2515"
"College of William and Mary","William & Mary","william-mary","707"
"William Peace University ","William Peace","william-peace","1563"
"William Penn College","William Penn","william-penn","2519"
"William Smith College","William Smith","william-smith","2521"
"Williams College","Williams","williams","2523"
"Wilmington University","Wilmington (DE)","wilmington-de","2527"
"Wilmington College","Wilmington (OH)","wilmington-oh","2525"
"Wilson College","Wilson","wilson","2529"
"Wingate University","Wingate","wingate","2531"
"Winona State University","Winona St.","winona-st","2533"
"Winston-Salem State University","Winston-Salem","winston-salem","2535"
"Winthrop University","Winthrop","winthrop","2537"
"University of Wisconsin-Eau Claire","Wis.-Eau Claire","wis-eau-claire","2343"
"University of Wisconsin-La Crosse","Wis.-La Crosse","wis-la-crosse","2347"
"Wisconsin Lutheran College","Wis. Lutheran","wis-lutheran","2539"
"University of Wisconsin-Oshkosh","Wis.-Oshkosh","wis-oshkosh","2353"
"University of Wisconsin, Parkside","Wis.-Parkside","wis-parkside","2355"
"University of Wisconsin-Platteville","Wis.-Platteville","wis-platteville","2357"
"University of Wisconsin-River Falls","Wis.-River Falls","wis-river-falls","2359"
"Univ. of Wisconsin-Stevens Point","Wis.-Stevens Point","wis-stevens-point","2361"
"University of Wisconsin-Stout","Wis.-Stout","wis-stout","2363"
"University of Wisconsin-Superior","Wis.-Superior","wis-superior","2365"
"University of Wisconsin-Whitewater","Wis.-Whitewater","wis-whitewater","2367"
"University of Wisconsin, Madison","Wisconsin","wisconsin","2349"
"","null","Wisconsin-Eau Claire","38103"
"","null","Wisconsin-La Crosse","38105"
"Wittenberg University","Wittenberg","wittenberg","2541"
"William Paterson University ","William Paterson","wm-paterson","2517"
"Wofford College","Wofford","wofford","2543"
"College of Wooster","Wooster","wooster","709"
"Worcester State University","Worcester St.","worcester-st","2547"
"Worcester Polytechnic Institute","WPI","wpi","2545"
"Wright State University","Wright St.","wright-st","2549"
"","null","WVU","38091"
"University of Wyoming","Wyoming","wyoming","2369"
"Xavier University","Xavier","xavier","2551"
"Yale University","Yale","yale","2553"
"Yeshiva University","Yeshiva","yeshiva","2555"
"York College (N.Y.) ","York (NY)","york-ny","2557"
"York College (Pa.)","York (PA)","york-pa","2559"
"Young Harris College","Young Harris","young-harris","27411"
"Youngstown State University","Youngstown St.","youngstown-st","2561"
