"long_name","name","slug","tid"
"Greensboro College","Greensboro","greensboro","983"
"Greenville University","Greenville","greenville","985"
"Grinnell College","Grinnell","grinnell","987"
"Grove City College","Grove City","grove-city","989"
"Augusta University ","Augusta University ","gru-augusta","425"
"Guilford College","Guilford","guilford","991"
"Gustavus Adolphus College","Gust. Adolphus","gust-adolphus","993"
"Gwynedd-Mercy College","Gwynedd-Mercy","gwynedd-mercy","995"
"Hamilton College","Hamilton","hamilton","997"
"Hamline University","Hamline","hamline","999"
"Hampden-Sydney College","Hampden-Sydney","hampden-sydney","1001"
"Hampton University","Hampton","hampton","1003"
"Hanover College","Hanover","hanover","1005"
"Hardin-Simmons University","Hardin-Simmons","hardin-simmons","1007"
"Harding University","Harding","harding","1009"
"University of Hartford","Hartford","hartford","2093"
"Hartwick College","Hartwick","hartwick","1011"
"Harvard University","Harvard","harvard","1013"
"Haverford College","Haverford","haverford","1015"
"University of Hawaii, Manoa","Hawaii","hawaii","2097"
"University of Hawaii at Hilo","Hawaii Hilo","hawaii-hilo","2095"
"Hawaii Pacific University","Hawaii Pacific","hawaii-pacific","1017"
"Heidelberg University","Heidelberg","heidelberg","1019"
"Henderson State University","Henderson St.","henderson-st","1021"
"Hendrix College","Hendrix","hendrix","1023"
"High Point University","High Point","high-point","1025"
"Hilbert College","Hilbert","hilbert","1027"
"Hillsdale College","Hillsdale","hillsdale","1029"
"Hiram College","Hiram","hiram","1031"
"Hobart College","Hobart","hobart","1033"
"Hofstra University","Hofstra","hofstra","1035"
"Hollins University","Hollins","hollins","1037"
"College of the Holy Cross","Holy Cross","holy-cross","705"
"Holy Family University","Holy Family","holy-family","1039"
"Holy Names University","Holy Names","holy-names","27351"
"Hood College","Hood","hood","1041"
"Hope College","Hope","hope","1043"
"Houghton College","Houghton","houghton","27353"
"University of Houston","Houston","houston","2099"
"Houston Baptist University","Houston Baptist","houston-baptist","1045"
"Howard University","Howard","howard","1049"
"Howard Payne University","Howard Payne","howard-payne","1047"
"Humboldt State University","Humboldt St.","humboldt-st","1051"
"Hunter College","Hunter","hunter","1053"
"Huntingdon College","Huntingdon","huntingdon","1055"
"Husson University","Husson","husson","1057"
"University of Idaho","Idaho","idaho","2101"
"Idaho State University","Idaho St.","idaho-st","1059"
"Illinois Tech","Illinois Tech","iit","27355"
"University of Illinois-Chicago","Ill.-Chicago","ill-chicago","2103"
"University of Illinois-Springfield","Ill.- Springfield","ill-springfield","2105"
"Illinois Wesleyan University","Ill. Wesleyan","ill-wesleyan","1065"
"University of Illinois","Illinois","illinois","2107"
"Illinois College","Illinois Col.","illinois-col","1061"
"Illinois State University","Illinois St.","illinois-st","1063"
"Immaculata University","Immaculata","immaculata","1067"
"University of the Incarnate Word","Incarnate Word","incarnate-word","2315"
"Indiana University, Bloomington","Indiana","indiana","1073"
"Indiana University of Pennsylvania","Indiana (PA)","indiana-pa","1071"
"Indiana State University","Indiana St.","indiana-st","1069"
"University of Indianapolis","Indianapolis","indianapolis","2109"
"Iona College","Iona","iona","1079"
"University of Iowa","Iowa","iowa","2111"
"Iowa State University","Iowa St.","iowa-st","1081"
"Iowa Wesleyan University ","Iowa Wesleyan","iowa-wesleyan","27357"
"Purdue University Fort Wayne","Purdue University Fort Wayne","ipfw","1077"
"Ithaca College","Ithaca","ithaca","1083"
"IUPUI","IUPUI","iupui","1075"
"Jackson State University","Jackson St.","jackson-st","1085"
"Jacksonville University","Jacksonville","jacksonville","1089"
"Jacksonville State University","Jacksonville St.","jacksonville-st","1087"
"James Madison University","James Madison","james-madison","1091"
"John Carroll University","John Carroll","john-carroll","1093"
"John Jay College of Criminal Justice","John Jay","john-jay","1095"
"Johns Hopkins University","Johns Hopkins","johns-hopkins","1097"
"Johnson C. Smith University","Johnson C. Smith","johnson-c-smith","1101"
"Johnson State College","Johnson St.","johnson-st","1103"
"Johnson and Wales University","Johnson & Wales (RI)","johnson-wales-ri","1099"
"Juniata College","Juniata","juniata","1105"
"Kalamazoo College","Kalamazoo","kalamazoo","1107"
"University of Kansas","Kansas","kansas","2113"
"Kansas State University","Kansas St.","kansas-st","1109"
"Kean University","Kean","kean","1111"
"Keene State College","Keene St.","keene-st","1113"
"Kennesaw State University","Kennesaw St.","kennesaw-st","1115"
"Kent State University","Kent St.","kent-st","1117"
"University of Kentucky","Kentucky","kentucky","2115"
"Kentucky State University","Kentucky St.","kentucky-st","1119"
"Kenyon College","Kenyon","kenyon","1123"
"Keuka College","Keuka","keuka","1125"
"Keystone College","Keystone","keystone","1127"
"King University","King (TN)","king-tn","1129"
"King's College","King's (PA)","kings-pa","1131"
"Knox College","Knox","knox","1133"
"Kutztown University","Kutztown","kutztown","1135"
"Kentucky Wesleyan College","Ky. Wesleyan","ky-wesleyan","1121"
"University of Louisiana at Lafayette","La.-Lafayette","la-lafayette","2119"
"University of Louisiana at Monroe","La.-Monroe","la-monroe","2121"
"La Roche College","La Roche","la-roche","1139"
"La Salle University","La Salle","la-salle","1141"
"La Sierra University","La Sierra","la-sierra","1143"
"University of La Verne","La Verne","la-verne","2117"
"Lafayette College","Lafayette","lafayette","1145"
"LaGrange College","LaGrange","lagrange","1137"
"Lake Erie College","Lake Erie","lake-erie","1147"
"Lake Forest College","Lake Forest","lake-forest","1149"
"Lake Superior State University","Lake Superior St.","lake-superior-st","1151"
"Lakeland College","Lakeland","lakeland","1153"
"Lamar University","Lamar","lamar","1155"
"Lambuth University","Lambuth","lambuth","1157"
"Lancaster Bible College","Lancaster Bible","lancaster-bible","1159"
"Lander University","Lander","lander","1161"
"Lane College","Lane","lane","1163"
"Langston University","Langston","langston","1165"
"Lasell College","Lasell","lasell","1167"
"Lawrence University","Lawrence","lawrence","1169"
"Le Moyne College","Le Moyne","le-moyne","1171"
"Lebanon Valley College","Lebanon Valley","lebanon-valley","1173"
"Lee University","Lee ","lee","27359"
"Lees-McRae College","Lees-McRae","lees-mcrae","1175"
"Lehigh University","Lehigh","lehigh","1177"
"Lehman College","Lehman","lehman","1179"
"LeMoyne-Owen College","LeMoyne-Owen","lemoyne-owen","1181"
"Lenoir-Rhyne University","Lenoir-Rhyne","lenoir-rhyne","1183"
"Lesley University","Lesley","lesley","1185"
